update,global_step,rollout_reward_per_env,ep_return_mean,ep_len_mean,episodes_finished,A0_H_rx_chain_rx,A1_H_rx_chain_ry,A2_H_rx_chain_rz,A3_H_ry_chain_rx,A4_H_ry_chain_ry,A5_H_ry_chain_rz,A6_NoH_rx_chain_rx,A7_NoH_rx_chain_ry,A8_NoH_rx_chain_rz,A9_NoH_ry_chain_rx,A10_NoH_ry_chain_ry,A11_NoH_ry_chain_rz
1,4096,2.0,0.016736401673640166,7.550209205020921,478,0.08261389285326004,0.08261294662952423,0.08247888088226318,0.0825827345252037,0.08262849599123001,0.08261753618717194,0.08236324042081833,0.0826106145977974,0.08716459572315216,0.08259277045726776,0.08257170021533966,0.08716258406639099
2,8192,1.75,0.015184381778741865,7.872017353579175,461,0.08229289948940277,0.083083875477314,0.08216878026723862,0.0822993591427803,0.08313749730587006,0.08242615312337875,0.0819411501288414,0.08224596083164215,0.08795832097530365,0.08228860050439835,0.08220323175191879,0.08795420080423355
3,12288,2.0,0.01642710472279261,7.44558521560575,487,0.08211597800254822,0.08261548727750778,0.08197581022977829,0.08242210745811462,0.08263631910085678,0.08477941155433655,0.08160561323165894,0.08207553625106812,0.08795326948165894,0.08187755197286606,0.08198791742324829,0.08795494586229324
4,16384,3.25,0.02584493041749503,7.135188866799205,503,0.08151181787252426,0.08153706043958664,0.08153695613145828,0.08171385526657104,0.08147859573364258,0.09001381695270538,0.08129457384347916,0.08145204931497574,0.08823522925376892,0.08137404173612595,0.08157641440629959,0.08827567845582962
5,20480,4.75,0.034050179211469536,6.279569892473118,558,0.0801253393292427,0.08121383935213089,0.08009929955005646,0.08011223375797272,0.08012808859348297,0.09779475629329681,0.08006838709115982,0.08012868463993073,0.08998608589172363,0.08008923381567001,0.08011240512132645,0.0901416763663292
6,24576,9.5,0.06229508196721312,5.754098360655738,610,0.07819367945194244,0.07925429195165634,0.07810088247060776,0.07817421108484268,0.07815807312726974,0.10807136446237564,0.0782013013958931,0.07820926606655121,0.09340986609458923,0.07806627452373505,0.07818301767110825,0.09397780895233154
7,28672,11.0,0.07248764415156507,5.7380560131795715,607,0.0768098309636116,0.07666788250207901,0.07679960876703262,0.07795150578022003,0.07678169012069702,0.11566867679357529,0.07676921784877777,0.07675106823444366,0.09552713483572006,0.07678432762622833,0.07675585150718689,0.09673326462507248
8,32768,19.0,0.13058419243986255,6.036082474226804,582,0.07370571792125702,0.07375889271497726,0.07365597039461136,0.08138345927000046,0.07370530813932419,0.13043135404586792,0.07368505746126175,0.07371354848146439,0.09719238430261612,0.07377287745475769,0.0737425908446312,0.10125283896923065
9,36864,36.5,0.23817292006525284,5.690048939641109,613,0.07252517342567444,0.07248646020889282,0.07247304171323776,0.08324159681797028,0.07249661535024643,0.13647080957889557,0.0725153312087059,0.07248644530773163,0.09700419008731842,0.07254064083099365,0.07249300926923752,0.10326670110225677
10,40960,68.25,0.4883720930232558,6.3291592128801435,559,0.0720471516251564,0.07197929173707962,0.07190153002738953,0.08439714461565018,0.07153946161270142,0.14031006395816803,0.071701280772686,0.0719025507569313,0.09688600897789001,0.07185613363981247,0.07190001755952835,0.10357940942049026
11,45056,85.25,0.6373831775700934,6.654205607476635,535,0.07182931900024414,0.07182233780622482,0.0716070607304573,0.0848325863480568,0.07138456404209137,0.14478322863578796,0.07143630087375641,0.07175099104642868,0.09787344187498093,0.07143739610910416,0.07176349312067032,0.09947927296161652
12,49152,98.25,0.7291280148423006,6.601113172541744,539,0.071669802069664,0.07175960391759872,0.07135645300149918,0.08526086062192917,0.07143158465623856,0.15292733907699585,0.07128728181123734,0.07171444594860077,0.09494493901729584,0.07102888077497482,0.07175121456384659,0.09486760199069977
13,53248,103.75,0.7699443413729128,6.586270871985158,539,0.07142072916030884,0.07159478217363358,0.07102933526039124,0.08548817038536072,0.07136580348014832,0.1577501744031906,0.0710509642958641,0.07157303392887115,0.09295255690813065,0.07056494802236557,0.0716308057308197,0.09357872605323792
14,57344,114.25,0.8117229129662522,6.293072824156305,563,0.07098568975925446,0.0712939202785492,0.07047045230865479,0.08577797561883926,0.07122264057397842,0.1692415028810501,0.07063761353492737,0.07130952924489975,0.08884797990322113,0.0697878897190094,0.07140053808689117,0.08902432024478912
