update,global_step,rollout_reward_per_env,ep_return_mean,ep_len_mean,episodes_finished,A0_H_rx_chain_rx,A1_H_rx_chain_ry,A2_H_rx_chain_rz,A3_H_ry_chain_rx,A4_H_ry_chain_ry,A5_H_ry_chain_rz,A6_NoH_rx_chain_rx,A7_NoH_rx_chain_ry,A8_NoH_rx_chain_rz,A9_NoH_ry_chain_rx,A10_NoH_ry_chain_ry,A11_NoH_ry_chain_rz
1,4096,0.0,0.0,324.0,12,0.08025674521923065,0.08627275377511978,0.08025674521923065,0.08025674521923065,0.08025674521923065,0.08590655028820038,0.08414984494447708,0.08523420244455338,0.08414524048566818,0.0845644399523735,0.08458002656698227,0.08411991596221924
2,8192,0.10138888888888886,0.033796295523643494,314.8333333333333,12,0.07626532763242722,0.08685567229986191,0.07626532763242722,0.07626532763242722,0.07626532763242722,0.09016024321317673,0.08480435609817505,0.08843957632780075,0.0847332626581192,0.08612367510795593,0.08911523222923279,0.08470664173364639
3,12288,0.07222222222222222,0.024074075122674305,318.3333333333333,12,0.07204897701740265,0.0867898166179657,0.07204897701740265,0.07204897701740265,0.07204897701740265,0.09558996558189392,0.08597256988286972,0.09121181070804596,0.08553134649991989,0.08811292052268982,0.09294404089450836,0.0856516882777214
4,16384,0.0,0.0,324.0,12,0.06788557022809982,0.08526788651943207,0.06788557022809982,0.06788557022809982,0.06788557022809982,0.10209976136684418,0.08648046106100082,0.09522103518247604,0.08527549356222153,0.08920703083276749,0.09959498047828674,0.08531098812818527
5,20480,0.0,0.0,324.0,13,0.0637596845626831,0.08535545319318771,0.0637596845626831,0.0637596845626831,0.0637596845626831,0.10712537914514542,0.08733893185853958,0.09864846616983414,0.08532872051000595,0.0901939794421196,0.10566508769989014,0.08530520647764206
6,24576,0.18402777777777776,0.05662393340697655,309.15384615384613,13,0.05958585441112518,0.08555100113153458,0.05958585441112518,0.05958585441112518,0.05958585441112518,0.11107757687568665,0.08982007205486298,0.10302615910768509,0.08522749692201614,0.09313607960939407,0.10826332867145538,0.08555483818054199
7,28672,0.0,0.0,324.0,14,0.05571151524782181,0.08536217361688614,0.05571151524782181,0.05571151524782181,0.05571151524782181,0.11724094301462173,0.09075330197811127,0.1070832759141922,0.08511557430028915,0.09441234916448593,0.1118982583284378,0.0852881371974945
8,32768,0.02777777777777779,0.008547008610688724,323.6923076923077,13,0.052042458206415176,0.08493319153785706,0.052042458206415176,0.052042458206415176,0.052042458206415176,0.12381843477487564,0.08980611711740494,0.11226145178079605,0.0847245529294014,0.09555432200431824,0.11598935723304749,0.08474268019199371
9,36864,0.0,0.0,324.0,12,0.0486377477645874,0.08460558950901031,0.0486377477645874,0.0486377477645874,0.0486377477645874,0.13085806369781494,0.08858057111501694,0.11686274409294128,0.08434270322322845,0.0953930914402008,0.12039847671985626,0.08440783619880676
10,40960,0.0,0.0,324.0,12,0.04529821500182152,0.08429928123950958,0.04529821500182152,0.04529821500182152,0.04529821500182152,0.13417300581932068,0.08864647895097733,0.12259484827518463,0.0838588997721672,0.09648317098617554,0.12481402605772018,0.08393749594688416
11,45056,0.11458333333333331,0.032738095947674344,314.7857142857143,14,0.04217792674899101,0.08364513516426086,0.04217792674899101,0.04217792674899101,0.04217792674899101,0.1357102394104004,0.08833308517932892,0.12975727021694183,0.08306393027305603,0.09772245585918427,0.12990814447402954,0.08314798027276993
12,49152,0.0,0.0,324.0,12,0.03940823674201965,0.08292029052972794,0.03940823674201965,0.03940823674201965,0.03940823674201965,0.1401769518852234,0.08789816498756409,0.1341308355331421,0.08214849978685379,0.09923692047595978,0.1336178481578827,0.08223754167556763
13,53248,0.0,0.0,324.0,12,0.036891013383865356,0.08196726441383362,0.036891013383865356,0.036891013383865356,0.036891013383865356,0.1457638293504715,0.08714555203914642,0.13726429641246796,0.0809495598077774,0.10092238336801529,0.1373804658651352,0.08104269206523895
14,57344,0.0,0.0,324.0,13,0.03464241325855255,0.08086110651493073,0.03464241325855255,0.03464241325855255,0.03464241325855255,0.15475307404994965,0.08611538261175156,0.1386081874370575,0.07953693717718124,0.10297105461359024,0.13895180821418762,0.07963290065526962
15,61440,0.13263888888888886,0.04081196624499101,314.84615384615387,13,0.03248761221766472,0.07921694219112396,0.03248761221766472,0.03248761221766472,0.03248761221766472,0.15719038248062134,0.084344282746315,0.14382441341876984,0.07753190398216248,0.10498668253421783,0.1453263908624649,0.07762850075960159
16,65536,0.0,0.0,324.0,12,0.030558960512280464,0.07735482603311539,0.030558960512280464,0.030558960512280464,0.030558960512280464,0.16459861397743225,0.08211047947406769,0.1477845311164856,0.07525614649057388,0.10744217783212662,0.14786650240421295,0.07535093277692795
17,69632,0.0,0.0,324.0,12,0.028729764744639397,0.07500156760215759,0.028729764744639397,0.028729764744639397,0.028729764744639397,0.16752195358276367,0.07909853756427765,0.15384764969348907,0.07246354222297668,0.11007478833198547,0.15451934933662415,0.07255352288484573
18,73728,0.24027777777777776,0.06407407323519389,305.73333333333335,15,0.027035925537347794,0.07227703928947449,0.027035925537347794,0.027035925537347794,0.027035925537347794,0.17187108099460602,0.07543941587209702,0.16027382016181946,0.06930187344551086,0.11306830495595932,0.16024063527584076,0.06938418000936508
