update,global_step,lr,avg_reward,rolling_mean_10,avg_success,rolling_success_10,pg_loss,v_loss,arch_loss,angle_loss,mean_logstd,k_active,top_arch,top_prob,sps,A0_H_rx_chain_rx,A1_H_rx_chain_ry,A2_H_rx_chain_rz,A3_H_ry_chain_rx,A4_H_ry_chain_ry,A5_H_ry_chain_rz,A6_NoH_rx_chain_rx,A7_NoH_rx_chain_ry,A8_NoH_rx_chain_rz,A9_NoH_ry_chain_rx,A10_NoH_ry_chain_ry,A11_NoH_ry_chain_rz
1,32768,0.0003,0.6765551600526658,0.6765551600526658,0.0,0.0,-0.10967373847961426,0.02667587250471115,0.04945613816380501,0.0,-0.5014626979827881,3,5,0.1018947884440422,168.35315306089714,0.08488940447568893,0.07583984732627869,0.04786600172519684,0.08494124561548233,0.08488504588603973,0.1018947884440422,0.08489228785037994,0.08469279855489731,0.09545432776212692,0.08490399271249771,0.0848325714468956,0.084907665848732
2,65536,0.00029986,0.5990860080731782,0.6378205840629221,0.0,0.0,-0.047115299850702286,0.03171541541814804,0.04836057499051094,0.0,-0.5048370361328125,3,5,0.1328059434890747,170.68230740504478,0.09583322703838348,0.0332445465028286,0.025184858590364456,0.08790455013513565,0.08663787692785263,0.1328059434890747,0.08059103041887283,0.08571524173021317,0.116120345890522,0.08253245800733566,0.08569008111953735,0.08773981034755707
3,98304,0.00029972,0.6536920046146546,0.6431110575801663,0.0,0.0,-0.06987941265106201,0.038540855050086975,0.04294453561306,0.0,-0.509523868560791,3,5,0.2640186548233032,171.38463983247433,0.1298876404762268,0.018021833151578903,0.014992793090641499,0.04080931469798088,0.07788755744695663,0.2640186548233032,0.03868325799703598,0.04549223557114601,0.2049032598733902,0.04252361133694649,0.04696962609887123,0.07581017911434174
4,131072,0.00029958000000000003,0.6929879256570003,0.6555802745993747,0.0,0.0,-0.0013427939265966415,0.018946534022688866,0.029697684571146965,0.0,-0.5165207386016846,3,5,0.495032399892807,171.92738588188226,0.06422815471887589,0.00835114624351263,0.007233334239572287,0.014767179265618324,0.02937944419682026,0.495032399892807,0.014715651050209999,0.016268951818346977,0.29130399227142334,0.015747804194688797,0.016684694215655327,0.02628721110522747
5,163840,0.00029944,0.7801535170775556,0.6804949230950109,0.0,0.0,0.057625964283943176,0.024519041180610657,0.019602712243795395,0.0,-0.5276764631271362,3,5,0.7048439979553223,172.4110555219241,0.02318822406232357,0.004089688882231712,0.0036104582250118256,0.00662190793082118,0.012297328561544418,0.7048439979553223,0.006655449979007244,0.007225693669170141,0.2060161679983139,0.007051926106214523,0.007386920042335987,0.011012295261025429
6,196608,0.0002993,0.7996561281829604,0.7003551239430026,0.0,0.0,-0.0038389796391129494,0.021085353568196297,0.017660995945334435,0.0,-0.5305075645446777,3,5,0.7480542063713074,186.36808271132008,0.019364196807146072,0.0035499241203069687,0.0031426583882421255,0.0056800623424351215,0.010439107194542885,0.7480542063713074,0.0057138558477163315,0.00618926202878356,0.1761394739151001,0.0060462793335318565,0.006324626039713621,0.009356305934488773
7,229376,0.00029916000000000003,0.8083743178807349,0.7157864373626787,0.0,0.0,-0.0919920951128006,0.03729541599750519,0.01051488146185875,0.0,-0.5359365344047546,3,5,0.881902277469635,185.22309180784774,0.009555965662002563,0.001984494971111417,0.0017723373603075743,0.0030615925788879395,0.0054415310733020306,0.881902277469635,0.003086923621594906,0.0033210066612809896,0.07833725959062576,0.0032533719204366207,0.0033890774939209223,0.004894212819635868
8,262144,0.00029902,0.8565340581096179,0.733379889956046,0.0,0.0,0.06262225657701492,0.017061952501535416,0.009066312573850155,0.0,-0.5391476154327393,3,5,0.903594970703125,194.6016656076873,0.007974402979016304,0.0016988655552268028,0.0015201527858152986,0.002600728301331401,0.004588455427438021,0.903594970703125,0.002623326610773802,0.002818267559632659,0.06281255930662155,0.002762418705970049,0.0028752030339092016,0.004130611661821604
9,294912,0.00029888,0.9202517721707977,0.7541434324243518,0.0,0.0,-0.02481802925467491,0.024256587028503418,0.005615110043436289,0.0,-0.5477876663208008,3,5,0.9484885334968567,192.79766692597144,0.00452087027952075,0.0010353255784139037,0.0009315016795881093,0.001550892717204988,0.0026791261043399572,0.9484885334968567,0.0015659547643736005,0.0016757789999246597,0.031780362129211426,0.0016450411640107632,0.0017082286067306995,0.0024183676578104496
10,327680,0.00029874,0.9210950001950524,0.7708385892014218,0.0,0.0,-0.035330452024936676,0.028642019256949425,0.003740234998986125,0.0,-0.5555663108825684,3,5,0.9690489172935486,191.4659911949163,0.0028285100124776363,0.0006825029267929494,0.0006165779195725918,0.0010062766959890723,0.0017111182678490877,0.9690489172935486,0.0010166645515710115,0.0010849370155483484,0.01828521117568016,0.001066147000528872,0.0011052772169932723,0.0015479428693652153
11,360448,0.0002986,0.9589977198169067,0.7990828451778459,0.0,0.0,0.034222476184368134,0.02617274597287178,0.0026034479960799217,0.0,-0.5664522647857666,3,5,0.9801024794578552,190.37578300982543,0.0018693367019295692,0.0004704013408627361,0.0004264150629751384,0.0006845986936241388,0.0011488917516544461,0.9801024794578552,0.0006919379811733961,0.0007367513026110828,0.011353014968335629,0.0007245775777846575,0.0007501848740503192,0.0010413125855848193
12,393216,0.00029845999999999996,0.9360364358826392,0.8327778879587919,0.0,0.0,0.033327408134937286,0.021261364221572876,0.0020510023459792137,0.0,-0.5734673738479614,3,5,0.9850587844848633,191.6109778796527,0.0014256377471610904,0.00036819925298914313,0.00033448883914388716,0.0005315242451615632,0.0008845740812830627,0.9850587844848633,0.0005373277235776186,0.0005713380523957312,0.008341553620994091,0.0005621676682494581,0.0005815703189000487,0.0008027438307181001
13,425984,0.0002983199999999999,0.9590064238428254,0.863309329881609,0.0,0.0,0.004309067502617836,0.02249744161963463,0.0019635327626019716,0.0,-0.5764238238334656,3,5,0.985815167427063,198.41791072185825,0.0013566591078415513,0.0003520211612340063,0.00031991745345294476,0.0005074216751381755,0.0008431693422608078,0.985815167427063,0.0005129780038259923,0.0005453101475723088,0.007890199311077595,0.0005366046098060906,0.0005550445639528334,0.0007653473294340074
14,458752,0.00029817999999999994,1.010108370576274,0.8950213743735365,0.0,0.0,-0.005837300792336464,0.014383191242814064,0.0014562384458258748,0.0,-0.5836483240127563,3,5,0.9900436401367188,196.99028143755294,0.0009675386245362461,0.00025905188522301614,0.00023605077876709402,0.00036974024260416627,0.0006080385064706206,0.9900436401367188,0.00037384845199994743,0.00039675552397966385,0.005398247390985489,0.00039063996518962085,0.0004036783648189157,0.0005527991452254355
15,491520,0.00029803999999999996,1.0152609637148235,0.9185321190372632,0.0,0.0,0.10458974540233612,0.028498433530330658,0.0010991300223395228,0.0,-0.5894453525543213,3,5,0.9928407669067383,195.74123706807575,0.0007046578684821725,0.00019428052473813295,0.00017746927915140986,0.00027476390823721886,0.0004474245070014149,0.9928407669067383,0.0002778400375973433,0.000294418481644243,0.003791541326791048,0.00029002316296100616,0.00029944386915303767,0.0004074110765941441
16,524288,0.0002978999999999999,1.0591855705816808,0.9444850632771352,0.0,0.0,-0.015480510890483856,0.024618294090032578,0.0010887670796364546,0.0,-0.5898911952972412,3,5,0.9929186701774597,202.1353345358384,0.0006972167757339776,0.0001924230164149776,0.00017578707775101066,0.0002720535849221051,0.00044286277261562645,0.9929186701774597,0.0002750993298832327,0.0002914998331107199,0.0037474443670362234,0.0002871527394745499,0.0002964717277791351,0.00040327879833057523
17,557056,0.0002977599999999999,1.1026077901806046,0.9739084105071223,0.0,0.0,0.0023659802973270416,0.02137896604835987,0.0008749449043534696,0.0,-0.5958216190338135,3,5,0.9945085644721985,202.02930664480323,0.0005453928024508059,0.00015395772061310709,0.00014092148921918124,0.00021611370902974159,0.0003490412491373718,0.9945085644721985,0.0002185373450629413,0.000231294528930448,0.002854859223589301,0.0002279289619764313,0.0002351688890485093,0.00031824817415326834
18,589824,0.0002976199999999999,1.0938662226128668,0.9976416269574472,0.0,0.0,0.03938085585832596,0.0268627367913723,0.0007254607626236975,0.0,-0.6045522689819336,3,5,0.9955776929855347,202.8237081153774,0.00044220450217835605,0.00012730267189908773,0.00011672072287183255,0.00017759075853973627,0.0002848377334885299,0.9955776929855347,0.00017958016542252153,0.00018987045041285455,0.002263998379930854,0.00018716600607149303,0.00019300123676657677,0.0002600059669930488
19,622592,0.00029747999999999987,1.1648421084119842,1.0221006605815657,0.0,0.0,0.1088782548904419,0.025741901248693466,0.0007139178342185915,0.0,-0.6065469980239868,3,5,0.9956583976745605,207.9773312654707,0.00043434082181192935,0.00012525005149655044,0.00011485548020573333,0.00017463283438701183,0.0002799226494971663,0.9956583976745605,0.0001765885972417891,0.00018669110431801528,0.0022199831437319517,0.00018403682042844594,0.0001897651090985164,0.0002555454266257584
20,655360,0.0002973399999999999,1.1929260585001522,1.0492837664120755,0.0,0.0,-0.012594623491168022,0.009431181475520134,0.0006535045686177909,0.0,-0.6124890446662903,2,5,0.9960790276527405,213.0229849668369,0.0003934439446311444,0.00011453584738774225,0.00010511583968764171,0.0001592186454217881,0.0002543518494348973,0.9960790276527405,0.0001609987230040133,0.00017012751777656376,0.001990298740565777,0.00016773307288531214,0.00017290654068347067,0.00023233237152453512
21,688128,0.0002971999999999999,1.235749499748665,1.0769589444052516,0.0,0.0,0.039696112275123596,0.006592866498976946,0.0005147670162841678,0.0,-0.6204553842544556,2,5,0.9970186948776245,214.97864285224117,0.00030146457720547915,9.010387293528765e-05,8.287880336865783e-05,0.0001242277940036729,0.00019656898803077638,0.9970186948776245,0.0001256057439604774,0.00013255102385301143,0.001482667401432991,0.00013073654554318637,0.00013466831296682358,0.00017984163423534483
22,720896,0.0002970599999999999,1.292331548779266,1.1125884556949144,0.0,0.0,0.021021101623773575,0.028340552002191544,0.00048766619875095785,0.0,-0.6247338056564331,2,5,0.9971973896026611,220.2926677887685,0.0002838259388227016,8.535623783245683e-05,7.855275180190802e-05,0.00011745744268409908,0.00018543738406151533,0.9971973896026611,0.00011875735799549147,0.0001252847578143701,0.00138732953928411,0.00012358094681985676,0.00012727556168101728,0.00016972249432001263
23,753664,0.00029691999999999994,1.247748642757429,1.1414626775863748,0.0,0.0,-0.00774504616856575,0.05079907923936844,0.00045081981807015836,0.0,-0.6254551410675049,2,5,0.997437596321106,224.52555236798295,0.00026005582185462117,7.892290886957198e-05,7.268723129527643e-05,0.00010829931852640584,0.00017040831153281033,0.997437596321106,0.00010949339775834233,0.00011545907182153314,0.0012597794411703944,0.00011390386498533189,0.00011727931268978864,0.00015605680528096855
24,786432,0.00029677999999999996,1.3292671787511954,1.1733785584038667,0.0,0.0,-0.03695952147245407,0.014437086880207062,0.00043443916365504265,0.0,-0.6286506652832031,2,5,0.9975436329841614,229.60307417469159,0.00024954325635917485,7.606467988807708e-05,7.008041575318202e-05,0.00010423672938486561,0.00016375126142520458,0.9975436329841614,0.00010538390051806346,0.00011110131163150072,0.0012037763372063637,0.00010961170482914895,0.00011284616630291566,0.00015000229177530855
25,819200,0.00029664,1.3701256916954851,1.2088650312019327,0.0,0.0,-0.024759314954280853,0.022404920309782028,0.0004317480488680303,0.0,-0.6290940642356873,2,5,0.997560977935791,235.0835697768539,0.000247824820689857,7.559636287624016e-05,6.965332431718707e-05,0.00010357165592722595,0.0001626623998163268,0.997560977935791,0.00010471110726939514,0.00011038802040275186,0.0011945771984755993,0.00010890912381000817,0.00011212049139430746,0.00014901167014613748
26,851968,0.00029649999999999994,1.3826401770200238,1.2412104918457671,0.0,0.0,0.09632015228271484,0.032052911818027496,0.00040397210977971554,0.0,-0.6359788775444031,2,5,0.9977388381958008,238.97360754015034,0.0002300991036463529,7.075553003232926e-05,6.523622141685337e-05,9.670157305663452e-05,0.00015142105985432863,0.9977388381958008,9.77612507995218e-05,0.00010302038572262973,0.0011010124580934644,0.00010165144340135157,0.00010462566569913179,0.00013878570462111384
27,884736,0.0002963599999999999,1.4111928659796193,1.2720689994256689,0.0,0.0,0.04223904758691788,0.03371535241603851,0.00035733642289415,0.0,-0.638542652130127,2,5,0.9980338215827942,241.5553347705834,0.00020066516299266368,6.265364936552942e-05,5.783837696071714e-05,8.523391443304718e-05,0.00013270723866298795,0.9980338215827942,8.616052218712866e-05,9.072687680600211e-05,0.0009468551725149155,8.954016084317118e-05,9.212187433149666e-05,0.00012175532174296677
28,917504,0.00029621999999999987,1.4081557475787978,1.3034979519222618,0.0,0.0,0.0208583977073431,0.13362030684947968,0.00029425989487208426,0.0,-0.6421523094177246,2,5,0.9984226226806641,242.17373356011745,0.00016176349890884012,5.1795796025544405e-05,4.791050378116779e-05,6.993770512053743e-05,0.0001078650529962033,0.9984226226806641,7.068615377647802e-05,7.434123108396307e-05,0.0007450550911016762,7.339354488067329e-05,7.545837434008718e-05,9.913085523294285e-05
29,950272,0.0002960799999999999,1.378499303681,1.3248636714491633,0.0,0.0,0.015896301716566086,0.15253950655460358,0.0002465291472617537,0.0,-0.6447922587394714,2,5,0.9987090826034546,242.7023026428849,0.00013297154509928077,4.362495747045614e-05,4.042733053211123e-05,5.849266381119378e-05,8.938557584770024e-05,0.9987090826034546,5.9108100685989484e-05,6.209214188857004e-05,0.0005982695147395134,6.131990085123107e-05,6.300429959082976e-05,8.228579827118665e-05
