update,global_step,lr,avg_reward,rolling_mean_10,avg_success,rolling_success_10,pg_loss,v_loss,arch_loss,angle_loss,mean_logstd,k_active,top_arch,top_prob,sps,A0_H_rx_chain_rx,A1_H_rx_chain_ry,A2_H_rx_chain_rz,A3_H_ry_chain_rx,A4_H_ry_chain_ry,A5_H_ry_chain_rz,A6_NoH_rx_chain_rx,A7_NoH_rx_chain_ry,A8_NoH_rx_chain_rz,A9_NoH_ry_chain_rx,A10_NoH_ry_chain_ry,A11_NoH_ry_chain_rz
1,32768,0.0003,2.4434191395892357,2.4434191395892357,0.0,0.0,-0.030952230095863342,0.09769056737422943,0.04966320842504501,0.0,-0.5016149878501892,3,6,0.0951453298330307,360.88990433185853,0.08106950670480728,0.08110375702381134,0.08108742535114288,0.08110873401165009,0.08108491450548172,0.0810842365026474,0.0951453298330307,0.08107451349496841,0.09392422437667847,0.08112527430057526,0.08107863366603851,0.08111346513032913
2,65536,0.00029986,2.9793614402661635,2.7113902899276994,0.0,0.0,-0.04103657603263855,0.15570229291915894,0.04951135441660881,0.0,-0.5012882947921753,3,8,0.11454842239618301,373.03332541685484,0.07820431143045425,0.07813947647809982,0.07814981043338776,0.07809387147426605,0.07806145399808884,0.07802560925483704,0.10434592515230179,0.07810928672552109,0.11454842239618301,0.0780646875500679,0.07811830192804337,0.07813884317874908
3,98304,0.00029972,3.335550606108373,2.9194437286545907,0.0,0.0,0.024558113887906075,0.6068292260169983,0.04930753633379936,0.0,-0.5027105808258057,3,8,0.133165642619133,397.95305029557096,0.07579983025789261,0.07583019882440567,0.07586400955915451,0.07586679607629776,0.0757557824254036,0.07573248445987701,0.10859864205121994,0.0758565217256546,0.133165642619133,0.0758722648024559,0.07578444480895996,0.07587335258722305
4,131072,0.00029958000000000003,2.925478800476098,2.9209524966099676,0.0,0.0,0.03797546774148941,0.27385419607162476,0.04922761023044586,0.0,-0.5078794956207275,3,8,0.1416633427143097,396.24552137505316,0.07488755136728287,0.07486823201179504,0.07542542368173599,0.07496306300163269,0.07563100755214691,0.07483702152967453,0.10521648824214935,0.0751427412033081,0.1416633427143097,0.07504434883594513,0.0746256485581398,0.07769512385129929
5,163840,0.00029944,2.7181045190639623,2.8803829011007664,0.0,0.0,-0.07780997455120087,0.14826570451259613,0.04917403683066368,0.0,-0.5099027156829834,3,8,0.1454085409641266,395.97139196924815,0.07373658567667007,0.07375507056713104,0.07482019066810608,0.07383769750595093,0.07541242241859436,0.07385634630918503,0.10443326830863953,0.07410404086112976,0.1454085409641266,0.0738183781504631,0.073043093085289,0.08377433568239212
6,196608,0.0002993,2.5527062954742497,2.8257701334963468,0.0,0.0,-0.12464191019535065,0.124453604221344,0.04901482164859772,0.0,-0.5145367383956909,3,8,0.15616387128829956,395.9764483838421,0.07225246727466583,0.07233333587646484,0.07419940829277039,0.07239322364330292,0.07538002729415894,0.07265019416809082,0.1048140600323677,0.07279612869024277,0.15616387128829956,0.07220549881458282,0.07085061818361282,0.08396114408969879
7,229376,0.00029916000000000003,2.5278300946991754,2.7832072708110367,0.0,0.0,-0.02327175997197628,0.09187001734972,0.04885103553533554,0.0,-0.5109753608703613,3,8,0.16565054655075073,407.7329094352504,0.07090133428573608,0.07104652374982834,0.07371196150779724,0.07108070701360703,0.07546649128198624,0.07158347964286804,0.10644739866256714,0.07161885499954224,0.16565054655075073,0.07071763277053833,0.06877947598695755,0.08299556374549866
8,262144,0.00029902,2.4446025613367297,2.7408816821267483,0.0,0.0,0.05794982984662056,0.1390577256679535,0.04873419553041458,0.0,-0.5129331350326538,3,8,0.17086194455623627,422.93738721844244,0.06975354254245758,0.06996013224124908,0.07337813824415207,0.06996840983629227,0.07566741108894348,0.07070648670196533,0.10918618738651276,0.07063261419534683,0.17086194455623627,0.06943704932928085,0.0669557973742485,0.08349228650331497
9,294912,0.00029888,2.333787655973553,2.695649012554171,0.0,0.0,0.0025778301060199738,0.18305855989456177,0.048712193965911865,0.0,-0.5125115513801575,3,8,0.1718084216117859,449.47898050372004,0.06955620646476746,0.06977368146181107,0.07332436740398407,0.0697772353887558,0.07570772618055344,0.07055706530809402,0.10971640795469284,0.07046350836753845,0.1718084216117859,0.06921602785587311,0.066640205681324,0.08345916867256165
10,327680,0.00029874,2.3770772074521056,2.6637918320439646,0.0,0.0,0.022805988788604736,0.18764498829841614,0.04826586693525314,0.0,-0.5128741264343262,3,8,0.19080296158790588,443.4563297922178,0.06612430512905121,0.06652689725160599,0.07234498858451843,0.06644535809755325,0.07635961472988129,0.06794313341379166,0.1168581172823906,0.06749739497900009,0.19080296158790588,0.06537570804357529,0.06128131225705147,0.08244016766548157
