steps,avg_reward,success_rate,sps
100000,15.828445623070001,0.0,1620
200000,17.982745402529837,0.02,1353
300000,20.749535063039513,0.48,1380
400000,14.388979035895318,0.5,1316
500000,12.903527883067728,0.48,1345
600000,13.887372247390449,0.66,1309
700000,13.201519846469164,0.64,1327
800000,14.164753920463845,0.82,1296
900000,15.214333682060241,0.98,1304
1000000,14.351703675538301,0.96,1279
1100000,14.238016177248209,0.98,1283
1200000,14.252594175627456,1.0,1262
1300000,14.120620395820588,1.0,1267
1400000,14.00204203476198,1.0,1252
1500000,13.964574668938294,1.0,1256
1600000,13.895406288839876,1.0,1242
1700000,13.944838578738272,1.0,1246
1800000,13.953824578747152,1.0,1234
1900000,13.946646082662046,1.0,1237
2000000,13.937378410352395,1.0,1227
2100000,13.97579924329184,1.0,1217
2200000,14.01077452884987,1.0,1221
2300000,14.049558040453121,1.0,1213
2400000,14.08026183091104,1.0,1217
2500000,14.104907189514488,1.0,1210
2600000,14.144539003157988,1.0,1214
2700000,14.165919846082106,1.0,1209
2800000,14.20812022591941,1.0,1213
2900000,14.051414419608191,1.0,1208
3000000,14.24031561330892,1.0,1212
3100000,14.279167053401471,1.0,1207
3200000,14.327761304862797,1.0,1211
3300000,14.09925676858984,0.98,1207
3400000,14.381731697870418,1.0,1210
3500000,14.273267322238535,1.0,1206
3600000,14.430871781688184,1.0,1210
3700000,14.475789304450155,1.0,1206
3800000,14.486433220971376,1.0,1209
3900000,14.3251711268723,1.0,1206
4000000,14.5402337056119,1.0,1202
4100000,14.55455865861848,1.0,1205
4200000,14.499455940686166,0.98,1202
4300000,14.596662970278413,1.0,1205
4400000,14.624502757741139,1.0,1202
4500000,14.653630779897794,1.0,1204
4600000,14.679207072518766,1.0,1201
4700000,14.68622276108712,1.0,1204
4800000,14.708277722718194,1.0,1201
4900000,14.727847983138636,1.0,1203
5000000,14.760575318234041,1.0,1201
5100000,14.783809381294995,1.0,1203
5200000,14.79481737524271,1.0,1200
5300000,14.597353499177844,0.98,1203
5400000,14.651825873986818,1.0,1200
5500000,14.85609910774976,1.0,1202
5600000,14.870445606997237,1.0,1200
5700000,14.884359776927159,1.0,1202
5800000,14.652794934706762,0.98,1199
5900000,14.914034963985905,1.0,1197
6000000,14.927572347652166,1.0,1199
6100000,14.954121623290703,1.0,1197
6200000,14.95792181850411,1.0,1199
6300000,14.980796430762858,1.0,1197
6400000,14.993187150787563,1.0,1198
6500000,14.999801030205562,1.0,1197
6600000,15.019253294728696,1.0,1199
6700000,15.04133191620931,1.0,1197
6800000,15.042706981617957,1.0,1199
6900000,15.061802904689685,1.0,1198
7000000,15.061526215504855,1.0,1201
7100000,15.074284385871142,1.0,1199
