update,global_step,rollout_reward_per_env,ep_return_mean,ep_len_mean,episodes_finished,A0_H_rx_chain_rx,A1_H_rx_chain_ry,A2_H_rx_chain_rz,A3_H_ry_chain_rx,A4_H_ry_chain_ry,A5_H_ry_chain_rz,A6_NoH_rx_chain_rx,A7_NoH_rx_chain_ry,A8_NoH_rx_chain_rz,A9_NoH_ry_chain_rx,A10_NoH_ry_chain_ry,A11_NoH_ry_chain_rz
1,4096,1.3249999999999997,0.1709677408779821,122.83870967741936,31,0.08269672095775604,0.0826716497540474,0.08272449672222137,0.08280100673437119,0.08274126052856445,0.08277665823698044,0.08284159004688263,0.08280503004789352,0.08592046052217484,0.08281470090150833,0.08272545039653778,0.08648095279932022
2,8192,1.3812499999999999,0.16742424260486255,121.57575757575758,33,0.08231860399246216,0.08252366632223129,0.08243945240974426,0.08255510032176971,0.08227172493934631,0.08233970403671265,0.0825589969754219,0.08239590376615524,0.08722377568483353,0.0825190320611,0.08250535279512405,0.08834867179393768
3,12288,1.5265625,0.17959558963775635,121.38235294117646,34,0.08189090341329575,0.08197394013404846,0.082041434943676,0.08203780651092529,0.08204039186239243,0.0819971114397049,0.08186165243387222,0.081893190741539,0.08931007981300354,0.08189574629068375,0.0819435864686966,0.09111418575048447
4,16384,1.3890625,0.1683712141080336,121.9090909090909,33,0.08144017308950424,0.08153712004423141,0.08147016167640686,0.08157231658697128,0.08158952742815018,0.08142659068107605,0.08154818415641785,0.0815679281949997,0.09144306927919388,0.08147179335355759,0.08101464807987213,0.09391847997903824
5,20480,2.034375,0.22604166467984518,115.38888888888889,36,0.08061381429433823,0.08069401234388351,0.08068479597568512,0.08062487095594406,0.08067627251148224,0.08060915023088455,0.08062610775232315,0.08056290447711945,0.0951496809720993,0.08055488765239716,0.08064576238393784,0.09855771064758301
6,24576,2.1718750000000004,0.2482142863529069,113.88571428571429,35,0.07966997474431992,0.07969024032354355,0.07939749211072922,0.07966750860214233,0.0796322226524353,0.0796719416975975,0.07966379076242447,0.07967216521501541,0.09967917948961258,0.07953250408172607,0.07968011498451233,0.10404285788536072
7,28672,1.5875,0.18676470570704518,120.23529411764706,34,0.07894250005483627,0.07890655100345612,0.07899658381938934,0.07887774705886841,0.07902201265096664,0.07896234095096588,0.07897526770830154,0.07897786796092987,0.10265834629535675,0.07890459150075912,0.0790233388543129,0.10775286704301834
8,32768,3.775,0.3595238093818937,96.0,42,0.0779019221663475,0.07809992134571075,0.07805480062961578,0.07808079570531845,0.07805468142032623,0.07804907858371735,0.07798349112272263,0.0780067965388298,0.1068369597196579,0.07799133658409119,0.07811252772808075,0.11282762885093689
9,36864,2.125,0.22972973093793198,113.72972972972973,37,0.0771656408905983,0.07736904919147491,0.07722079008817673,0.07715001702308655,0.0773480236530304,0.07731889188289642,0.07738780975341797,0.077106773853302,0.11026723682880402,0.07733951508998871,0.07729693502187729,0.11702931672334671
10,40960,3.3468750000000003,0.3346874967217445,99.25,40,0.07659896463155746,0.07657814025878906,0.07661181688308716,0.07657838612794876,0.07658453285694122,0.07660886645317078,0.07656680047512054,0.07656034827232361,0.11340779811143875,0.07645053416490555,0.07656439393758774,0.12088938057422638
