update,global_step,lr,avg_reward,rolling_mean_10,avg_success,rolling_success_10,pg_loss,v_loss,arch_loss,angle_loss,mean_logstd,k_active,top_arch,top_prob,sps,A0_H_rx_chain_rx,A1_H_rx_chain_ry,A2_H_rx_chain_rz,A3_H_ry_chain_rx,A4_H_ry_chain_ry,A5_H_ry_chain_rz,A6_NoH_rx_chain_rx,A7_NoH_rx_chain_ry,A8_NoH_rx_chain_rz,A9_NoH_ry_chain_rx,A10_NoH_ry_chain_ry,A11_NoH_ry_chain_rz
1,32768,0.0003,1.4984330846270548,1.4984330846270548,0.0,0.0,0.07108636945486069,0.3017883896827698,0.049453962594270706,0.0,-0.5050204992294312,3,1,0.12077054381370544,427.543191234178,0.0774402841925621,0.12077054381370544,0.07733717560768127,0.07744161784648895,0.07740495353937149,0.1054142490029335,0.07743667811155319,0.07740775495767593,0.0774117112159729,0.07736975699663162,0.07726561278104782,0.07729963958263397
2,65536,0.00029986,2.432827850882161,1.965630467754608,0.03125,0.015625,-0.07464097440242767,1.3880032300949097,0.04870866611599922,0.0,-0.5040850639343262,3,5,0.16432857513427734,430.43603653471433,0.07123499363660812,0.12580877542495728,0.07106779515743256,0.07108388841152191,0.07086796313524246,0.16432857513427734,0.07099932432174683,0.07097277045249939,0.07094909250736237,0.07086091488599777,0.07079403847455978,0.0710318461060524
3,98304,0.00029972,3.6915424415899603,2.5409344590330587,0.125,0.052083333333333336,-0.08165334165096283,3.537236213684082,0.047668542712926865,0.0,-0.5088051557540894,3,5,0.2101985663175583,430.87531607142745,0.06556881219148636,0.1348225325345993,0.06556336581707001,0.06529182940721512,0.06546998769044876,0.2101985663175583,0.06564929336309433,0.06555895507335663,0.06543214619159698,0.06535686552524567,0.06556348502635956,0.0655241534113884
4,131072,0.00029958000000000003,4.220740038842011,2.960885853985297,0.21875,0.09375,0.010059084743261337,3.408823013305664,0.047070443630218506,0.0,-0.5124121904373169,3,5,0.23419582843780518,430.97338617086166,0.06294580549001694,0.13490618765354156,0.06304012984037399,0.06284371763467789,0.06307584047317505,0.23419582843780518,0.06302770972251892,0.06315375119447708,0.0630473718047142,0.06373754888772964,0.06289678066968918,0.06312929838895798
5,163840,0.00029944,4.805547689607359,3.329818221109709,0.21875,0.11875,-0.011799763888120651,7.499772548675537,0.04691755026578903,0.0,-0.5128245949745178,3,5,0.23818351328372955,469.1235398927223,0.06237693503499031,0.13803766667842865,0.06227830797433853,0.06225129961967468,0.06260742247104645,0.23818351328372955,0.0625481829047203,0.06208514794707298,0.0626734048128128,0.0616869255900383,0.06254258006811142,0.06272856891155243
6,196608,0.0002993,4.830947853546299,3.580006493182474,0.296875,0.1484375,-0.019061565399169922,6.3313140869140625,0.046602845191955566,0.0,-0.5119441151618958,3,5,0.24740421772003174,463.44839464685646,0.06102313473820686,0.14176587760448456,0.060996562242507935,0.061163529753685,0.060865167528390884,0.24740421772003174,0.061120469123125076,0.06077425554394722,0.061161238700151443,0.061680760234594345,0.06101905182003975,0.061025697737932205
7,229376,0.00029916000000000003,4.9938364839799245,3.7819822061535384,0.234375,0.16071428571428573,0.052928514778614044,6.719335556030273,0.04605376720428467,0.0,-0.5146106481552124,3,5,0.2650229334831238,459.1976793715288,0.05919380113482475,0.14399394392967224,0.05877559632062912,0.059024032205343246,0.059098824858665466,0.2650229334831238,0.059217002242803574,0.05911168083548546,0.059206169098615646,0.05943979322910309,0.05885980278253555,0.05905646085739136
8,262144,0.00029902,4.975111768937384,3.931123401501519,0.171875,0.162109375,-0.05921117588877678,6.41631555557251,0.04547123238444328,0.0,-0.5164629220962524,3,5,0.2841627895832062,455.9176957733587,0.0577223002910614,0.14337168633937836,0.05747975409030914,0.057178400456905365,0.056432344019412994,0.2841627895832062,0.057222630828619,0.05725933611392975,0.05710496008396149,0.05740673840045929,0.05731481686234474,0.05734419450163841
9,294912,0.00029888,4.972999073411561,4.04688736504708,0.171875,0.16319444444444445,-0.1309279203414917,3.61793851852417,0.04479627683758736,0.0,-0.516420304775238,3,5,0.3050929307937622,452.96355731026483,0.05554507300257683,0.14231623709201813,0.055342014878988266,0.055111583322286606,0.05506138876080513,0.3050929307937622,0.05521012842655182,0.05541594699025154,0.05509147047996521,0.055397771298885345,0.05500509589910507,0.05541028827428818
10,327680,0.00029874,4.698423074481937,4.112040935990565,0.09375,0.15625,-0.015158435329794884,2.9139604568481445,0.0444193109869957,0.0,-0.5164021253585815,3,5,0.3171536326408386,450.5577327518875,0.05450262129306793,0.14007465541362762,0.054281383752822876,0.05442633107304573,0.05423786863684654,0.3171536326408386,0.0542706735432148,0.05437726527452469,0.05439801141619682,0.053944241255521774,0.05413825064897537,0.05419507622718811
