steps,avg_reward,success_rate,sps
100000,10.902773557337932,0.14,1334
200000,12.147722739493474,0.34,1193
300000,11.881360404230655,0.36,1247
400000,10.823073738710955,0.44,1204
500000,11.407146281134338,0.38,1234
600000,11.325905681205914,0.32,1209
700000,11.974890779089183,0.4,1230
800000,11.899852990498767,0.28,1211
900000,13.038809450846166,0.44,1227
1000000,13.066774274380878,0.48,1213
1100000,14.056793722128496,0.64,1226
1200000,13.824711257154123,0.54,1213
1300000,13.925939796213061,0.52,1224
1400000,14.61457728907466,0.62,1214
1500000,14.473901449488476,0.56,1224
1600000,14.848793708644807,0.66,1215
1700000,14.258383153825998,0.66,1223
1800000,15.102605616040528,0.62,1216
1900000,14.805116367563606,0.8,1223
2000000,14.476971656996756,0.52,1216
2100000,14.775053640129045,0.56,1210
2200000,15.293620820250363,0.7,1217
2300000,15.612412533108145,0.72,1211
2400000,15.868765405053272,0.78,1217
2500000,14.331776474500074,0.52,1212
2600000,15.282373712342233,0.76,1217
2700000,15.368971790075301,0.74,1212
2800000,15.588760833740235,0.62,1217
2900000,15.838715409347788,0.78,1213
3000000,15.202532756719739,0.64,1218
3100000,15.374153605727479,0.7,1213
3200000,15.029969643978403,0.54,1218
3300000,15.800373514769598,0.72,1214
3400000,15.221505038393662,0.62,1218
3500000,15.503330115787685,0.78,1214
3600000,15.501572371618822,0.72,1218
3700000,15.366196944219991,0.76,1215
3800000,16.022700874218717,0.8,1218
3900000,15.710918928533793,0.68,1215
4000000,15.986742753554136,0.82,1211
4100000,15.783997283382341,0.8,1215
4200000,15.688927775770425,0.8,1212
4300000,15.841599512752145,0.86,1215
4400000,15.845026652114466,0.88,1212
4500000,15.931800235332922,0.84,1215
4600000,15.987662893617525,0.86,1212
4700000,16.088586046332495,0.92,1215
4800000,15.72946471181698,0.88,1213
4900000,15.789436584906653,0.86,1215
5000000,15.987637021392583,0.9,1213
5100000,15.872039041994139,0.9,1216
5200000,16.12214773179032,0.94,1213
5300000,16.159422556562347,0.98,1215
5400000,15.930364313423633,0.92,1213
5500000,15.841944645466283,0.92,1216
5600000,15.496276637222618,0.9,1213
5700000,16.02486469887197,0.96,1216
5800000,16.002213916834442,0.96,1213
5900000,16.086804896220563,0.98,1211
6000000,16.007445257883518,0.98,1213
6100000,16.145670853219926,0.98,1211
6200000,16.071236565457657,0.9,1214
6300000,15.797121200608089,0.96,1211
6400000,15.940245923642069,0.98,1214
6500000,16.012461909847335,0.96,1211
6600000,15.944470807621256,0.92,1214
6700000,15.96272376618348,0.92,1212
6800000,16.194501781938598,0.96,1214
6900000,16.24125702045858,1.0,1212
7000000,16.200775446407498,1.0,1214
7100000,15.891264871414752,0.96,1212
7200000,15.733584649730474,0.94,1214
7300000,16.039526515994222,0.96,1212
7400000,15.960962373157964,0.96,1214
7500000,16.019552490487694,0.96,1212
7600000,16.11076609348878,0.98,1214
7700000,16.16348457340151,1.0,1212
7800000,16.126127987606452,0.96,1211
7900000,16.257398994881658,1.0,1212
8000000,16.236502285180613,1.0,1211
8100000,16.118755319993944,0.98,1212
8200000,16.150058040898294,0.98,1211
8300000,16.110867693945764,1.0,1213
8400000,16.272420035777614,1.0,1211
8500000,15.925591048160568,0.96,1213
8600000,16.07889102234505,1.0,1211
8700000,16.311297817742453,0.98,1213
8800000,16.047934280857444,0.96,1211
8900000,16.400404141983017,1.0,1213
9000000,16.252506027147174,1.0,1211
9100000,16.419674787595866,1.0,1213
9200000,16.211867442950606,1.0,1212
9300000,16.208313055587933,0.98,1213
9400000,16.36603211500682,1.0,1212
9500000,16.44709969253279,1.0,1213
9600000,16.086716396380215,0.98,1212
9700000,16.17573456804268,0.96,1211
9800000,15.998849029187113,0.98,1212
9900000,16.088306133132427,0.98,1211
10000000,16.095245265150442,0.96,1212
10100000,16.103803162509575,0.98,1211
