steps,avg_reward,success_rate,sps
100000,9.309244820852763,0.04,1473
200000,7.366563438475132,0.0,1464
300000,7.993042055284604,0.0,1467
400000,11.025711424890906,0.04,1474
500000,12.723125279699453,0.08,1480
600000,12.15215686293319,0.26,1485
700000,14.002800844693557,0.3,1489
800000,11.843832866558806,0.18,1491
900000,12.214204714149236,0.16,1494
1000000,12.28325325188227,0.32,1497
1100000,14.43204757962376,0.38,1499
1200000,14.146124096252024,0.32,1500
1300000,13.289935756307095,0.36,1502
1400000,13.061595019614323,0.36,1503
1500000,12.855405554445461,0.38,1504
1600000,14.565678469901904,0.58,1505
1700000,14.678229436082766,0.58,1506
1800000,14.332135181427002,0.5,1506
1900000,14.362272500470281,0.58,1507
2000000,12.936686935853213,0.3,1508
2100000,13.5956878936477,0.46,1508
2200000,14.303196962708608,0.58,1508
2300000,14.789294109111651,0.54,1508
2400000,14.352072241138666,0.54,1508
2500000,14.435219920072704,0.6,1509
2600000,14.841410545771941,0.7,1509
2700000,14.935070553636178,0.62,1509
2800000,14.446988399308175,0.62,1510
2900000,14.457717921705916,0.58,1510
3000000,14.64198257625103,0.66,1510
3100000,14.970334107046947,0.78,1511
3200000,14.649759234422818,0.7,1511
3300000,13.99753700980451,0.62,1511
3400000,14.839565889965742,0.72,1512
3500000,14.475446600373834,0.52,1512
3600000,14.124705071896315,0.54,1512
3700000,14.962311517903581,0.76,1512
3800000,14.512042227545754,0.66,1512
3900000,14.545856730528175,0.64,1512
4000000,14.77583842471242,0.76,1512
4100000,14.619376680245622,0.72,1513
4200000,14.791459182379768,0.8,1513
4300000,14.751250756382943,0.72,1513
4400000,14.909301016312092,0.82,1513
4500000,14.576677311034873,0.72,1512
4600000,14.685234640901909,0.72,1511
4700000,14.942120615746825,0.82,1510
4800000,15.013911722414196,0.78,1510
4900000,14.617088342094794,0.74,1509
5000000,14.946621260149405,0.78,1508
5100000,14.909549120813608,0.78,1507
5200000,15.236191753176973,0.82,1506
5300000,15.024481728486716,0.88,1506
5400000,14.731959339529276,0.82,1505
5500000,15.13956054228358,0.76,1505
5600000,15.095113226277753,0.88,1504
5700000,15.230884391414001,0.92,1504
5800000,15.4037636701297,0.96,1503
5900000,15.38284707583487,0.94,1503
6000000,15.098978577498347,0.82,1502
6100000,15.249947301540523,0.92,1502
6200000,14.965213706251234,0.86,1501
6300000,15.424990593250842,0.94,1501
6400000,15.32362135676667,0.94,1501
6500000,15.347811585301534,0.96,1502
6600000,15.059009159924463,0.82,1502
6700000,15.149279873995111,0.9,1503
6800000,15.298159329937771,0.9,1503
6900000,15.49078577327542,0.96,1504
7000000,15.502067729840055,1.0,1503
7100000,15.507839767094701,0.94,1503
7200000,15.384332139221952,0.98,1503
7300000,14.834097484173252,0.88,1502
7400000,15.44865484872833,0.98,1502
7500000,15.361304084993899,0.9,1502
7600000,15.050631913729012,0.88,1501
7700000,15.1177083468996,0.9,1501
7800000,15.14265387699008,0.84,1501
7900000,15.328061350183562,0.92,1501
8000000,15.227661914862692,0.88,1502
8100000,15.564421124253421,0.96,1502
8200000,15.457818478187546,0.98,1502
8300000,15.434091359088198,0.96,1503
8400000,15.117846548194066,0.84,1503
8500000,15.537089599752798,0.98,1503
8600000,15.389759674016386,0.94,1504
8700000,15.540917607219889,0.98,1504
8800000,15.568992767361925,0.96,1504
8900000,15.729605410862714,1.0,1505
9000000,15.724245593734086,0.98,1505
9100000,15.6202550944034,0.96,1505
9200000,15.668449471099303,0.94,1506
9300000,15.44669133956544,1.0,1506
9400000,15.452388836443424,0.98,1506
9500000,15.740699180671946,1.0,1507
9600000,15.687095795376226,0.94,1507
9700000,15.680987052246929,0.88,1507
9800000,15.574835650026799,0.96,1507
9900000,15.762816716125235,0.96,1508
10000000,15.338533216938377,0.96,1508
